Project Name,項目名稱,项目名称,Grantee,獲資助者,获资助者,Project Type,項目類型,项目类型,Innovative Programme,創新計劃,创新计划,Stage of Innovation Development,階段,阶段,Project Nature,項目性質,项目性质,Major Beneficiaries,主要受惠者,主要受惠者,Brief Description,簡介,简介,Impact / Expected Impact,效益/預期效益,效益/预期效益,Approved Funding Amount (HK$),獲批資助額 （港幣）,获批资助额 （港币）,Funding Period (months),資助期(月),资助期(月),Status,狀況,状况,Project Website,項目網頁,项目网页
Smart Age Innovation Adventure,耆才創科導航,耆才创科导航,The Salvation Army,救世軍,救世军,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Prototype,原型,原型,Community participation,社區參與,社区参与,Elderly,長者,长者,Training courses on innovation and technology that unleash the talent of retirees and elderly,創新科技培訓課程讓長者及退休人士發揮才能,创新科技培训课程让长者及退休人士发挥才能,"•Organised 12 training courses for 148 elderly people•Provided tutor training to 19 elderly people, among them 18 became tutors•Held seven workshops led by elderly tutors, and organised inclusion activities and exhibition to showcase their prototypes to the public for over 1700 participants•Developed eight 3D-printing products to solve daily problems encountered by singleton elderly",•已舉辦12個培訓課程，共148名長者參與•提供導師培訓予19名長者，其中18人最後成為導師•舉辦七場由長者導師帶領的工作坊，及籌辦共融活動和展覽，向超過 1700 名參與者展示長者的原型作品•研發八件協助獨居長者解決日常生活困難的3D打印產品,•已举办12个培训课程，共148名长者参与•提供导师培训予19名长者，其中18人最后成为导师•举办七场由长者导师带领的工作坊，及筹办共融活动和展览，向超过 1700 名参与者展示长者的原型作品•研发八件协助独居长者解决日常生活困难的3D打印产品,198122,198122,198122,12.00,12.00,12.00,Completed,已完成,已完成,,,
傳承傳統味道宴會,傳承傳統味道宴會,传承传统味道宴会,Eldage Limited,傳耆有限公司,传耆有限公司,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Prototype,原型,原型,Food,食,食,Elderly,長者,长者,Engaging retired chefs in promotional activities to arouse public's interest in traditional food culture and cuisines,招募退休廚師推展不同項目，以推廣傳統飲食文化和菜式,招募退休厨师推展不同项目，以推广传统饮食文化和菜式,•Engaged seven chefs and ten retired persons as volunteers•Held seven banquets of traditional cuisines for more than 410 participants,•已招募七名廚師及10名樂齡義工•舉辦七場傳統飲食宴會予超過410名參加者,•已招募七名厨师及10名乐龄义工•举办七场传统饮食宴会予超过410名参加者,197280,197280,197280,12.00,12.00,12.00,Completed,已完成,已完成,shop.eldage.com,shop.eldage.com,shop.eldage.com
BeanCare,BeanCare,BeanCare,Bean D'REAM Co. Ltd.,Bean D'REAM Co. Ltd.,Bean D'REAM Co. Ltd.,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Prototype,原型,原型,Others,其他,其他,Others,其他,其他,To develop and launch a mobile crowdfunding platform for charitable organisations to raise funds,開發和推出流動眾籌平台，協助慈善機構進行籌款項目,开发和推出流动众筹平台，协助慈善机构进行筹款项目,‧Developed and launched the website and app‧Engaged 2 780 users to use the crowdfunding platform‧Launched four fundraising projects for charity organisations,‧開發及推出了平台網站和應用程式‧2780名用戶登記使用眾籌平台‧為慈善機構推出了四項慈善籌款項目,‧开发及推出了平台网站和应用程式‧2780名用户登记使用众筹平台‧为慈善机构推出了四项慈善筹款项目,178600,178600,178600,15.00,15.00,15.00,Completed,已完成,已完成,www.beancare.org,www.beancare.org,www.beancare.org
Silence's Sign Language Online Video Platform,龍耳電視（網上手語電視台）,龙耳电视（网上手语电视台）,Silence Limited,龍耳有限公司,龙耳有限公司,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Start-up,初創,初创,Community participation,社區參與,社区参与,Persons with disabilities,殘疾人士,残疾人士,Online video platform for the hearing impaired to serve and be served,為聽障人士提供資訊和媒體實習機會的網上影視平台,为听障人士提供资讯和媒体实习机会的网上影视平台,‧Launched an online TV channel and produced 24 episodes of programmes for hearing-impaired persons‧Provided training on multimedia and film production to about 30 hearing-impaired persons‧Produced a micro-film for charity preview,‧推出網上電視台及製作了24集節目予聽障人士觀看‧為約30名聽障人士提供多媒體課程‧製作了 一套微電影作慈善放映會,‧推出网上电视台及制作了24集节目予听障人士观看‧为约30名听障人士提供多媒体课程‧制作了 一套微电影作慈善放映会,103112,103112,103112,12.00,12.00,12.00,Completed,已完成,已完成,www.silence.org.hk,www.silence.org.hk,www.silence.org.hk
270Bag,270包包,270包包,(Individual),（個人）,（个人）,Innovative Project/Venture,創新計劃,创新计划,Good Seed programme run by the PolyU Technology and Consultancy Co Ltd,由理大科技及顧問有限公司推展的「好薈社」計劃,由理大科技及顾问有限公司推展的「好荟社」计划,Prototype,原型,原型,Living,住,住,Persons with disabilities,殘疾人士,残疾人士,"A bag specially designed for use with a wheelchair that brings greater convenience, safety and self-reliance to the user",專為配合輪椅使用的袋子，為輪椅使用者帶來方便、安全，並提升其自理能力,专为配合轮椅使用的袋子，为轮椅使用者带来方便、安全，并提升其自理能力,Completed the development of 4 bag prototypes and invited 50 users to conduct testing,完成研發4個袋子原型，並邀請50位用家進行測試,完成研发4个袋子原型，并邀请50位用家进行测试,100000,100000,100000,12.00,12.00,12.00,Completed,已完成,已完成,,,
Access to Justice Fellowship (A2J Fellowship),Access to Justice Fellowship (A2J Fellowship),Access to Justice Fellowship (A2J Fellowship),(Individual),（個人）,（个人）,Innovative Project/Venture,創新計劃,创新计划,Innovator Farm programme run by the Fullness Social Enterprises Society Ltd,由豐盛社企學會有限公司推展的「創新園」計劃,由丰盛社企学会有限公司推展的「创新园」计划,Prototype,原型,原型,Others,其他,其他,Others,其他,其他,Providing free and timely one-stop legal support for disadvantaged groups,為弱勢社群提供免費、及時的一站式法律支援服務,为弱势社群提供免费、及时的一站式法律支援服务,1. Train 2 fellows and recruit 4 pro bono lawyers to provide community legal clinic sessions2. Provide 8 community legal clinic sessions for 2 partner NPOs3. Provide community legal clinic sessions to 32 service users of the partner NPOs,1. 培訓2位學員和招募4位義務律師參與社區法律義診服務2. 為兩間非牟利機構提供8次社區法律義診服務3. 為32名合作非牟利機構的受惠對象提供社區法律義診服務,1. 培训2位学员和招募4位义务律师参与社区法律义诊服务2. 为两间非牟利机构提供8次社区法律义诊服务3. 为32名合作非牟利机构的受惠对象提供社区法律义诊服务,100000,100000,100000,12.00,12.00,12.00,Active,推展中,推展中,,,
AfterSchool,放學後的學校,放学后的学校,AfterSchool Education Limited,AfterSchool Education Limited,AfterSchool Education Limited,Innovative Project/Venture,創新計劃,创新计划,Good Seed programme run by the PolyU Technology and Consultancy Co Ltd,由理大科技及顧問有限公司推展的「好薈社」計劃,由理大科技及顾问有限公司推展的「好荟社」计划,Prototype,原型,原型,Education and learning,教育與學習,教育与学习,Children and youth,兒童及青少年,儿童及青少年,An online learning platform for grassroots secondary school students to learn more effectively,讓基層家庭中學生更有效學習的網上學習平台,让基层家庭中学生更有效学习的网上学习平台,- Over 15 000 underprivileged students used the online learning platform- 32 online courses covering various subjects developed with around 560 underprivileged students benefited,- 超過15 000位基層家庭學生使用網上學習平台- 推出32個涵蓋多個科目的網上課程，讓約560位基層家庭學生受惠,- 超过15 000位基层家庭学生使用网上学习平台- 推出32个涵盖多个科目的网上课程，让约560位基层家庭学生受惠,100000,100000,100000,9.00,9.00,9.00,Completed,已完成,已完成,https://afterschool.com.hk/,https://afterschool.com.hk/,https://afterschool.com.hk/
AI Augmented Box,盲人導航系統,盲人导航系统,Avatech Innovation Limited,Avatech Innovation Limited,Avatech Innovation Limited,Innovative Project/Venture,創新計劃,创新计划,Good Seed programme run by the PolyU Technology and Consultancy Co Ltd,由理大科技及顧問有限公司推展的「好薈社」計劃,由理大科技及顾问有限公司推展的「好荟社」计划,Prototype,原型,原型,Living,住,住,Persons with disabilities,殘疾人士,残疾人士,Camera-aided mobile computing solution for road navigation carried by a guide dog,由導盲犬配戴的流動裝置，透過電子鏡頭，為視障人士提供路線資訊,由导盲犬配戴的流动装置，透过电子镜头，为视障人士提供路线资讯,- Completed the development of the prototype of the mobile computing solution with a digital camera and invited 20 visually impaired persons to conduct testing- Modified the design of the device with reference to users' views so that it could be attached to a walking stick and thus more visually impaired persons would be benefited,- 已完成研發備有電子鏡頭的流動裝置原型，並邀請了20位視障人士進行測試- 根據測試收集的意見，改良了裝置的設計，現可以安裝於手扙上，讓更多視障人士受惠,- 已完成研发备有电子镜头的流动装置原型，并邀请了20位视障人士进行测试- 根据测试收集的意见，改良了装置的设计，现可以安装于手扙上，让更多视障人士受惠,100000,100000,100000,9.00,9.00,9.00,Completed,已完成,已完成,,,
Alpha Commons,Alpha Commons,Alpha Commons,Alpha Commons Limited,Alpha Commons Limited,Alpha Commons Limited,Innovative Project/Venture,創新計劃,创新计划,Good Seed programme run by the PolyU Technology and Consultancy Co Ltd,由理大科技及顧問有限公司推展的「好薈社」計劃,由理大科技及顾问有限公司推展的「好荟社」计划,Prototype,原型,原型,Education and learning,教育與學習,教育与学习,Children and youth,兒童及青少年,儿童及青少年,A project-based learning community to enhance awareness of school children on social issues and unleash their creativity in looking for solutions,圍繞專題項目開展的學習共同體，旨在提高學童對社會問題的認識並激發創意，構思應對方案,围绕专题项目开展的学习共同体，旨在提高学童对社会问题的认识并激发创意，构思应对方案,"‧Developed a Science, Technology, Engineering and Mathematics (STEM) based curriculum covering various themes including coding, elderly mobility, visual impairment, food redistribution and recycling.‧Rolled out educational maker kits, such as “Light Up”-Touch Sensor Torch as visual impairment aid, to use with the curriculum.‧Engaged 113 children and 15 high school students from low-income families in partnership with NGOs.",‧完成開發STEM (科學、科技、工程、數學)為本課程，主題涵蓋程式編寫、長者行動能力、視力障礙、食物再分配和循環再造‧推出教育用組裝套件(例如Light Up觸感式電筒視障輔助工具)配合課程使用‧與非政府機構合作的項目獲來自低收入家庭的113名兒童和15位高中生參與,‧完成开发STEM (科学、科技、工程、数学)为本课程，主题涵盖程式编写、长者行动能力、视力障碍、食物再分配和循环再造‧推出教育用组装套件(例如Light Up触感式电筒视障辅助工具)配合课程使用‧与非政府机构合作的项目获来自低收入家庭的113名儿童和15位高中生参与,100000,100000,100000,9.00,9.00,9.00,Completed,已完成,已完成,www.alphacommons.org ,www.alphacommons.org ,www.alphacommons.org 
Animomo,愉快動物們,愉快动物们,(Individual),（個人）,（个人）,Innovative Project/Venture,創新計劃,创新计划,Good Seed programme run by the PolyU Technology and Consultancy Co Ltd,由理大科技及顧問有限公司推展的「好薈社」計劃,由理大科技及顾问有限公司推展的「好荟社」计划,Prototype,原型,原型,Community participation,社區參與,社区参与,Persons with disabilities,殘疾人士,残疾人士,Enhancing interaction of visually-impaired children with sighted ones by means of a mobile app and accompanying toy set,提供說故事流動應用程式和配套玩具以增進視障兒童和健視同伴的互動,提供说故事流动应用程式和配套玩具以增进视障儿童和健视同伴的互动,‧Completed a mobile app with 5 stories uploaded‧Completed the prototype of an accompanying toy set embedded with Bluetooth device for connecting with the app,‧完成內含5個故事的流動應用程式‧完成內置藍牙以連接流動應用程式的玩具套裝原型,‧完成内含5个故事的流动应用程式‧完成内置蓝牙以连接流动应用程式的玩具套装原型,100000,100000,100000,9.00,9.00,9.00,Completed,已完成,已完成,www.facebook.com/animomo.hk/,www.facebook.com/animomo.hk/,www.facebook.com/animomo.hk/
Aquila Brothers,飛鷹兄弟計劃,飞鹰兄弟计划,(Individual),（個人）,（个人）,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Prototype,原型,原型,Education and learning,教育與學習,教育与学习,Children and youth,兒童及青少年,儿童及青少年,Training and life coaching to help youth set up online business and achieve self-enhancement,提供技術培訓和人生指導協助年輕人開展網上業務和自我提升,提供技术培训和人生指导协助年轻人开展网上业务和自我提升,"‧Recruited and trained 18 underprivileged youth to launch online businesses‧Improved the self-confidence, interpersonal skills and sense of responsibility of the participating youth",‧招募及培訓了18名基層青年開展網上業務‧提升參與青年的自信心、交際能力和責任感,‧招募及培训了18名基层青年开展网上业务‧提升参与青年的自信心、交际能力和责任感,100000,100000,100000,12.00,12.00,12.00,Completed,已完成,已完成,,,
Art Muraler,飾壁者,饰壁者,(Individual),（個人）,（个人）,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Prototype,原型,原型,Job training and opportunities,工作培訓和就業機會,工作培训和就业机会,Children and youth,兒童及青少年,儿童及青少年,Provision of mural painting training and work opportunity to help youth enhance self-confidence and social engagement,提供牆壁粉飾的培訓和工作機會讓青少年建立自信，並融入社會,提供墙壁粉饰的培训和工作机会让青少年建立自信，并融入社会,‧Recruited 49 youngsters and provided them with about 380 hours of mural painting training‧Provided voluntary mural service for 28 elderly people‧Completed 7 commercial murals,‧已招募49名青少年，並為他們提供接近380小時的壁畫培訓‧提供粉飾牆壁的義工服務予28名長者‧完成了7幅商業壁畫,‧已招募49名青少年，并为他们提供接近380小时的壁画培训‧提供粉饰墙壁的义工服务予28名长者‧完成了7幅商业壁画,100000,100000,100000,12.00,12.00,12.00,Completed,已完成,已完成,,,
Audio Description Services for Museums,博物館口述影像服務,博物馆口述影像服务,Audio Description Association (Hong Kong) Limited,香港口述影像協會有限公司,香港口述影像协会有限公司,Innovative Project/Venture,創新計劃,创新计划,Good Seed programme run by the PolyU Technology and Consultancy Co Ltd,由理大科技及顧問有限公司推展的「好薈社」計劃,由理大科技及顾问有限公司推展的「好荟社」计划,Prototype,原型,原型,Community participation,社區參與,社区参与,Persons with disabilities,殘疾人士,残疾人士,On-demand audio description services that enable the visually impaired and persons with low vision to understand museum exhibits,為失明人士及弱視人士而設的自選口述影像服務，讓他們清楚理解博物館的展品內容,为失明人士及弱视人士而设的自选口述影像服务，让他们清楚理解博物馆的展品内容,"‧Recruited 3 describers and provided relevant training‧Recruited 5 blind/VI persons to be the Description Quality Evaluators‧Organised 8 AD tours at Hong Kong Science Museum, Hong Kong Museum of History and Hong Kong Museum of Medical Sciences with over 200 blind/VI persons participated",‧聘請３位口述影像員，並提供相關訓練‧聘請5位失明／視障人士擔任口述影像質量評估員‧舉辦8次博物館口述影像團，包括香港科學館、香港歷史博物館及香港醫學博物館，超過200名失明／視障人士參與,‧聘请３位口述影像员，并提供相关训练‧聘请5位失明／视障人士担任口述影像质量评估员‧举办8次博物馆口述影像团，包括香港科学馆、香港历史博物馆及香港医学博物馆，超过200名失明／视障人士参与,100000,100000,100000,9.00,9.00,9.00,Completed,已完成,已完成,audeahk.org.hk,audeahk.org.hk,audeahk.org.hk
Augmented Reality Playbook,AR兒童情緒遊戲治療書,AR儿童情绪游戏治疗书,AESIR Limited,愛識有限公司,爱识有限公司,Innovative Project/Venture,創新計劃,创新计划,Good Seed programme run by the PolyU Technology and Consultancy Co Ltd,由理大科技及顧問有限公司推展的「好薈社」計劃,由理大科技及顾问有限公司推展的「好荟社」计划,Prototype,原型,原型,Healthcare,醫,医,Children and youth,兒童及青少年,儿童及青少年,A newly developed playbook built on augmented reality technology to help improve emotional literacy of children with mental disorder in their journey of rehabilitation,一本運用「增強現實」(AR)技術開發的遊戲書幫助有心理障礙或困擾的兒童認識情緒和提供一個愉悅的復康旅程,一本运用「增强现实」(AR)技术开发的游戏书帮助有心理障碍或困扰的儿童认识情绪和提供一个愉悦的复康旅程,‧Book content (focusing on positive psychology) developed with an accompanying mobile app displaying AR animation.‧100 copies of the playbook were produced.‧A sensor game was developed for SEN students. (see demo at youtu.be/fyU_wuM32Bg),‧完成開發遊戲治療書內容(正向心理)及相應的AR流動應用程式‧生產了100冊遊戲治療書‧完成開發一套體感遊戲 (示範片段: youtu.be/fyU_wuM32Bg),‧完成开发游戏治疗书内容(正向心理)及相应的AR流动应用程式‧生产了100册游戏治疗书‧完成开发一套体感游戏 (示范片段: youtu.be/fyU_wuM32Bg),100000,100000,100000,9.00,9.00,9.00,Completed,已完成,已完成,www.aesir.hk/happykingdom.html,www.aesir.hk/happykingdom.html,www.aesir.hk/happykingdom.html
Barrier-Free School,無障礙學堂,无障碍学堂,Barrier-free Technology and Culture Limited,Barrier-free Technology and Culture Limited,Barrier-free Technology and Culture Limited,Innovative Project/Venture,創新計劃,创新计划,Good Seed programme run by the PolyU Technology and Consultancy Co Ltd,由理大科技及顧問有限公司推展的「好薈社」計劃,由理大科技及顾问有限公司推展的「好荟社」计划,Prototype,原型,原型,Education and learning,教育與學習,教育与学习,Persons with disabilities,殘疾人士,残疾人士,E-learning platform and career-oriented courses for persons with disabilities   ,為殘疾人士設立的網上學習平台和職業導向課程,为残疾人士设立的网上学习平台和职业导向课程,‧Upgraded the eLearning platform‧More than 20 persons with disability enrolled in the courses,‧升級電子學習平台‧超過20位殘疾人士報名參加課程,‧升级电子学习平台‧超过20位残疾人士报名参加课程,100000,100000,100000,6.00,6.00,6.00,Completed,已完成,已完成,bfschoolhk.wix.com/bfschool,bfschoolhk.wix.com/bfschool,bfschoolhk.wix.com/bfschool
Beyond Vision Projects (BVP),Beyond Vision Projects (BVP),Beyond Vision Projects (BVP),Beyond Vision Projects Limited,Beyond Vision Projects Limited,Beyond Vision Projects Limited,Innovative Project/Venture,創新計劃,创新计划,Good Seed programme run by the PolyU Technology and Consultancy Co Ltd,由理大科技及顧問有限公司推展的「好薈社」計劃,由理大科技及顾问有限公司推展的「好荟社」计划,Prototype,原型,原型,Community participation,社區參與,社区参与,Persons with disabilities,殘疾人士,残疾人士,"The centrepiece of the project is the Tactile Audio Interaction System (TAIS) which translates visual information into tactile and audio one, meaning the visually-impaired (VIs) can ""see"" by touching and hearing. It is hoped that VIs can enjoy better opportunities for employment with enhanced ""visibility"" through the support of TAIS products and relevant training. Whilst the target beneficiaries are mainly VIs, elderly with deteriorating vision can also benefit. Exhibition(s) with the theme of ""Hong Kong Beyond Vision"" will be organised, demonstrating the product to raise public awareness as well as to reach potential customers. Proof-of-concept pilots will be developed for specific sectors such as cultural institutions, scenic spots and the retail industry to collect feedback from the market.","本項目的重點是「觸感-聽覺」同步系統(TAIS)。TAIS將影像資訊轉化成觸感和音訊，換言之，視障人士可以透過觸覺和聽覺來「看」物件。 本項目希望視障人士經TASI產品及相關培訓提升「視力」後, 能增加他們的就業機會。除了視障人士，TAIS對低視力長者亦有幫助。 本項目將舉辦以Hong Kong Beyond Vision為主題的展覽，透過產品示範提高公眾的意識及接觸準客戶。此外亦會在不同範疇例如文化機構、旅遊景點和零售行業推行先導計劃，測試方案的可行性和收集市場反應。","本项目的重点是「触感-听觉」同步系统(TAIS)。TAIS将影像资讯转化成触感和音讯，换言之，视障人士可以透过触觉和听觉来「看」物件。 本项目希望视障人士经TASI产品及相关培训提升「视力」后, 能增加他们的就业机会。除了视障人士，TAIS对低视力长者亦有帮助。 本项目将举办以Hong Kong Beyond Vision为主题的展览，透过产品示范提高公众的意识及接触准客户。此外亦会在不同范畴例如文化机构、旅游景点和零售行业推行先导计划，测试方案的可行性和收集市场反应。","- A pilot ""Blind Date with Mona Lisa"" exhibition was held in August 2016. - Invited by deTour, a teaser exhibition cum workshop was held at PMQ in November/December 2016.""Hong Kong Beyond Vision"" exhibition was held in February 2017 with over 10 pieces of TAIS exhibits; the exhibition was extended to early March in response to the request of PolyU School of Design. - ""Tactile-Audio Art"" exhibition cum workshop was held at the Ebenezer School and Home for the Visually Impaired.",- 在2016年8月舉行題為Blind Date with Mona Lisa的測驗展覽 -應deTour邀請在2016年11至12月於元創方(PMQ)舉行預告展兼工作坊在2017年2月舉行Hong Kong Beyond Vision展覽，展出10件TAIS展品；應理大設計學院要求，展期延長至3月初 - 獲心光盲人院暨學校特別邀請合作，在學校舉行「觸感-聽覺藝術」展覽兼工作坊,- 在2016年8月举行题为Blind Date with Mona Lisa的测验展览 -应deTour邀请在2016年11至12月于元创方(PMQ)举行预告展兼工作坊在2017年2月举行Hong Kong Beyond Vision展览，展出10件TAIS展品；应理大设计学院要求，展期延长至3月初 - 获心光盲人院暨学校特别邀请合作，在学校举行「触感-听觉艺术」展览兼工作坊,100000,100000,100000,8.00,8.00,8.00,Completed,已完成,已完成,www.beyondvision.asia,www.beyondvision.asia,www.beyondvision.asia
Bliss,Bliss,Bliss,(Individual),（個人）,（个人）,Innovative Project/Venture,創新計劃,创新计划,"BEHub programme run by The Society of Rehabilitation and Crime Prevention, Hong Kong",由香港善導會推展的「社創社」計劃,由香港善导会推展的「社创社」计划,Prototype,原型,原型,Job training and opportunities,工作培訓和就業機會,工作培训和就业机会,Persons with disabilities,殘疾人士,残疾人士,"The venture aims to equip youths-at-risk and persons with disabilities with the necessary skills for providing wedding decoration service through training on wedding decoration, use of design software and interpersonal communication skills. Trainees will receive a cash allowance and may be officially hired upon completion of training. Besides, the venture will provide wedding decoration service at an affordable price for a couple from low-income families.",項目旨在培訓邊緣青年和殘疾人士，讓他們具備所需技能，為客戶提供婚禮佈置服務。培訓內容包括婚禮佈置、設計軟件使用和人際溝通技巧。學員可領取現金津貼，完成培訓後或有機會正式獲聘。此外，項目會以相宜價格為一對低收入家庭的準新人提供婚禮佈置服務。,项目旨在培训边缘青年和残疾人士，让他们具备所需技能，为客户提供婚礼布置服务。培训内容包括婚礼布置、设计软件使用和人际沟通技巧。学员可领取现金津贴，完成培训后或有机会正式获聘。此外，项目会以相宜价格为一对低收入家庭的准新人提供婚礼布置服务。,	To provide job training for three youths-at-risk and three persons with disabilities	To provide wedding decoration service at an affordable price for a couple from low-income families,	為三名邊緣青年和三名殘疾人士提供職業培訓	以相宜價格為一對低收入家庭的準新人提供婚禮佈置服務,	为三名边缘青年和三名残疾人士提供职业培训	以相宜价格为一对低收入家庭的准新人提供婚礼布置服务,100000,100000,100000,9.00,9.00,9.00,Active,推展中,推展中,,,
BodyCraft,煉冶,炼冶,(Individual),（個人）,（个人）,Innovative Project/Venture,創新計劃,创新计划,"BEHub programme run by The Society of Rehabilitation and Crime Prevention, Hong Kong",由香港善導會推展的「社創社」計劃,由香港善导会推展的「社创社」计划,Prototype,原型,原型,Job training and opportunities,工作培訓和就業機會,工作培训和就业机会,Others,其他,其他,"The venture provides training for rehabilitated persons to become fitness instructors, aiming to facilitate their reintegration into society.",項目為更生人士提供培訓，幫助他們成為健身教練，重投社會。,项目为更生人士提供培训，帮助他们成为健身教练，重投社会。,․	Provide training for three rehabilitated persons to equip them to become fitness instructors ․	Provide nine fitness training sessions for youths at risk and people previously on remand or currently on bail,․	向三名更生人士提供培訓以協助他們成為健身教練․	向曾還押者、保釋者及邊緣青年提供9課健身訓練,․	向三名更生人士提供培训以协助他们成为健身教练․	向曾还押者、保释者及边缘青年提供9课健身训练,100000,100000,100000,9.00,9.00,9.00,Active,推展中,推展中,,,
Box Breakers,Box Breakers,Box Breakers,Elite Thai Boxing and Fitness Limited,精英社有限公司,精英社有限公司,Innovative Project/Venture,創新計劃,创新计划,Innovator Farm programme run by the Fullness Social Enterprises Society Ltd,由豐盛社企學會有限公司推展的「創新園」計劃,由丰盛社企学会有限公司推展的「创新园」计划,Prototype,原型,原型,Others,其他,其他,Children and youth,兒童及青少年,儿童及青少年,Providing psychotherapy through Thai-boxing for youngsters suffering from mental illness as well as underprivileged youths,透過泰拳為患有精神疾病的年輕人和弱勢青年提供心理療法,透过泰拳为患有精神疾病的年轻人和弱势青年提供心理疗法,1. Provide 960 hours of Thai-boxing classes to 48 youngsters suffering from MI2. Provide training to 3 U-youths and hire them as part-time coach assistants3. Collect and analyse data of participants about (i) HRV level and (ii) pre- and post-mental health and physical fitness,1. 為48名患有精神疾病的年輕人提供合共960小時的泰拳課堂2. 為3名弱勢青年提供培訓及聘請他們擔任兼職教練助理3. 收集並分析參加者的 (i) 心率變異和 (ii) 參加計劃前後的身體和心理健康的數據,1. 为48名患有精神疾病的年轻人提供合共960小时的泰拳课堂2. 为3名弱势青年提供培训及聘请他们担任兼职教练助理3. 收集并分析参加者的 (i) 心率变异和 (ii) 参加计划前后的身体和心理健康的数据,100000,100000,100000,6.00,6.00,6.00,Active,推展中,推展中,https://eliteboxinghk.com/,https://eliteboxinghk.com/,https://eliteboxinghk.com/
Bring Parents For Fun,子親樂,子亲乐,(Individual),（個人）,（个人）,Innovative Project/Venture,創新計劃,创新计划,Good Seed programme run by the PolyU Technology and Consultancy Co Ltd,由理大科技及顧問有限公司推展的「好薈社」計劃,由理大科技及顾问有限公司推展的「好荟社」计划,Prototype,原型,原型,Community participation,社區參與,社区参与,Elderly,長者,长者,Organising activities that help elderly maintain active while strengthening bonding between them and their adult sons and daughters,舉辦活動讓長者保持活躍並加強長者與子女之間的連繫,举办活动让长者保持活跃并加强长者与子女之间的连系,‧Organised 11 adult children-elderly parent events with 42 elderly people and over 130 family members participated‧Confirmed partnership with 13 organisations/corporates to launch events,‧舉辦11個子親活動，共有42名長者和超過130位家人參加‧已與13個團體/機構落實合作推出子親活動,‧举办11个子亲活动，共有42名长者和超过130位家人参加‧已与13个团体/机构落实合作推出子亲活动,100000,100000,100000,9.00,9.00,9.00,Completed,已完成,已完成,www.facebook.com/PaterMaterHK,www.facebook.com/PaterMaterHK,www.facebook.com/PaterMaterHK
ButterBuddy,ButterBuddy,ButterBuddy,Little Possie Limited,Little Possie Limited,Little Possie Limited,Innovative Project/Venture,創新計劃,创新计划,Good Seed programme run by the PolyU Technology and Consultancy Co Ltd,由理大科技及顧問有限公司推展的「好薈社」計劃,由理大科技及顾问有限公司推展的「好荟社」计划,Prototype,原型,原型,Healthcare,醫,医,Children and youth,兒童及青少年,儿童及青少年,Publishing story books for social workers and clinical psychologists to identify andhelp vulnerable children traumatized by family crisis,透過特別設計的故事書，讓專業人士能及早識別出受家庭問題困擾的兒童並提供支援,透过特别设计的故事书，让专业人士能及早识别出受家庭问题困扰的儿童并提供支援,"‧Prototype of the story book completed with the partnership of social workers, clinical psychologists and practitioners.‧Pilot test completed with 90% accuracy rate in identifying children with potential family issues.",‧與社工、臨床心理學家和相關從業員合作下完成圖書原型的開發‧完成先導測試，辨識出懷疑有家庭問題的兒童的準碓率達百分之九十,‧与社工、临床心理学家和相关从业员合作下完成图书原型的开发‧完成先导测试，辨识出怀疑有家庭问题的儿童的准碓率达百分之九十,100000,100000,100000,6.00,6.00,6.00,Completed,已完成,已完成,www.littlepossie.com,www.littlepossie.com,www.littlepossie.com
Card Adventure,卡牌大冒險,卡牌大冒险,Aco Studio Limited,Aco Studio Limited,Aco Studio Limited,Innovative Project/Venture,創新計劃,创新计划,Good Seed programme run by the PolyU Technology and Consultancy Co Ltd,由理大科技及顧問有限公司推展的「好薈社」計劃,由理大科技及顾问有限公司推展的「好荟社」计划,Prototype,原型,原型,Education and learning,教育與學習,教育与学习,Children and youth,兒童及青少年,儿童及青少年,An online learning platform to help children with special education needs learn Chinese with fun,幫助有特殊教育需要兒童愉快學習中文的網上學習平台,帮助有特殊教育需要儿童愉快学习中文的网上学习平台,15 sets of online learning materials developed with 30 SEN children as pilot users,推出15套網上學習教材，共有30名有特殊學習需要的兒童率先試用,推出15套网上学习教材，共有30名有特殊学习需要的儿童率先试用,100000,100000,100000,9.00,9.00,9.00,Completed,已完成,已完成,https://www.facebook.com/cardadventure,https://www.facebook.com/cardadventure,https://www.facebook.com/cardadventure
